lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,ec,128,83,3.667997469,1.443513343
triangular,vertex,ec,128,84,3.668487673,1.447507336
triangular,vertex,ec,128,85,3.6673574,1.444984143
triangular,vertex,ec,128,86,3.667217415,1.460526788
triangular,vertex,ec,128,87,3.668537702,1.431350779
triangular,vertex,ec,128,88,3.668077494,1.449331017
triangular,vertex,ec,128,89,3.669168174,1.454710341
triangular,vertex,ec,128,90,3.669008033,1.452419116
triangular,vertex,ec,128,91,3.667577399,1.423580911
triangular,vertex,ec,128,92,3.667657405,1.430156888
triangular,vertex,ec,128,93,3.666757538,1.449054521
triangular,vertex,ec,128,94,3.667797424,1.429427045
triangular,vertex,ec,128,95,3.669508519,1.439252342
triangular,vertex,ec,128,96,3.66827757,1.474075385
triangular,vertex,ec,128,97,3.668237553,1.456042985
